EJERCICIO,programa,componente,incentivo,apoyo,beneficiario,tipo_apoyo,concepto_apoyo,monto_solicitado,monto_federal_aportado,PESQUERIA,cobertura_apoyo,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,tipo_persona,cve_inegi,unidadeconmica,rnpa,RNPA_disponible,clasificacion_cn,ID_ben
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",PUNTOS CLAVE EN NEGOCIOS URBANOS SA DE CV,EVENTO,EXPOSICION DE LOS MARES DE MEXICO,4500000,4500000,PESCADOS Y MARISCOS,ESTATAL,SIN ESPECIFICAR,NA,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PUNTOS CLAVE EN NEGOCIOS URBANOS SA DE CV-XX-XX-XXXXXXXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,CAMPANAS INTEGRALES DE PROMOCION DE FOMENTO AL CONSUMO ,PESCA CON VALOR AC,CAMPAÑA,CAMPAÑA DE PROMOCIÓN DE PRODUCTOS PESQUEROS CON EL SELLO DE CALIDAD PESCA CON VALOR,3600000,1000000,PESCADOS Y MARISCOS,NACIONAL,SIN ESPECIFICAR,NACIONAL,NA,NA,NA,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,PESCA CON VALOR AC-XX-XX-XXXXXXXXX
2019,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA EJIDO BOCA DE ARROYO SCL,EVENTO,"1ERA FERIA DE LA TILAPIA CHOIX, SINALOA",375000,300000,TILAPIA,ESTATAL,PACIFICO NORTE,SINALOA,25,CHOIX,25,CHOIX,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA EJIDO BOCA DE ARROYO SCL-XX-XX-25XXXX
2018,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",DESIGN PUBLICATIONS SA DE CV,EVENTO,13° FORO INTERNACIONAL DE ACUICULTURA,2000000,2000000,PESCADOS Y MARISCOS,NACIONAL,PACIFICO SUR,JALISCO,14,GUADALAJARA,14039,GUADALAJARA,140390001,MORAL,140390001,NA,NA,No Disponible,FOMENTO AL CONSUMO,DESIGN PUBLICATIONS SA DE CV-XX-XX-140390001
2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,ACCIONES PARA FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC,EVENTO,EVENTO NACIONAL DE CUARESMA 2017,1000000,1000000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. BENITO JUAREZ,9014,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO MEXICANO DE PROMOCION DE LOS PRODUCTOS PESQUEROS Y ACUICOLAS AC-XX-XX-09014XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CONSEJO NACIONAL OSTRICOLA AC,EVENTO,FERIA NACIONAL DE OSTION,200000,200000,OSTION,REGIONAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,MORAL,20010001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CONSEJO NACIONAL OSTRICOLA AC-XX-XX-020010001
2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO,FOMENTO AL CONSUMO,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",AQUAMAR INTERNACIONAL SA DE CV,EVENTO,"AQUAMAR 2016, EN EL MARCO DE LA XIV EDICION DE AQUAMAR INTERNACIONAL",250000,250000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,AQUAMAR INTERNACIONAL SA DE CV-XX-XX-250120001
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",BARRO ARAGON Y DOMENECH SA DE CV,EVENTO,ISLA DEL SABOR,800000,800000,PESCADOS Y MARISCOS,ESTATAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. MIGUEL HIDALGO,9016,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,BARRO ARAGON Y DOMENECH SA DE CV-XX-XX-09016XXXX
2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,"EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES","EVENTOS Y FERIAS REGIONALES, NACIONALES E INTERNACIONALES",CAMARA NACIONAL DE LA INDUSTRIA DE TRANSFORMACION,EVENTO,EN MAR,170000,170000,PESCADOS Y MARISCOS,ESTATAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,MORAL,250120001,NA,NA,No Disponible,FOMENTO AL CONSUMO,CAMARA NACIONAL DE LA INDUSTRIA DE TRANSFORMACION-XX-XX-250120001
2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD PESQUERA Y ACUICOLA,FOMENTO AL CONSUMO DE PRODUCTOS PESQUEROS Y ACUICOLAS,ESTUDIOS DE MERCADO Y MONITOREO DE CONSUMO,ESTUDIO DE DIAGNOSTICO Y CONSUMO,ESFERA SOCIAL SC,ESTUDIO,MEDICION DE FRECUENCIA DE CONSUMO DE PESCADOS Y MARISCOS Y VARIABLES QUE AFECTAN LA MISMA,1990000,1990000,PESCADOS Y MARISCOS,NACIONAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,DEL. COYOACAN,9003,NA,NA,MORAL,NA,NA,NA,No Disponible,FOMENTO AL CONSUMO,ESFERA SOCIAL SC-XX-XX-09003XXXX
