EJERCICIO,programa,componente,incentivo,uni_admin,cve_presupuestal,beneficiario,monto_federal_aportado,tipo_cobertura,zona,entidad,cve_ent,municipio,cve_mun,localidad,cve_loc,cve_inegi,fecha_ini,fechar_ter,tipo_apoyo,direccion,tipodecomite,PESQUERIA,rnpa,RNPA_disponible,entidad_comite,cobertura_comite,pesqueria_estandar,clasificacion_cn,ID_ben
2014,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,CONSEJO NACIONAL OSTRICOLA AC,1087500,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001,  4/7/2014, 3/31/2015,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Teniente Azueta 187 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,NACIONAL,OSTION,NA,No Disponible,NA,NACIONAL,OSTIONES,CADENAS PRODUCTIVAS,CONSEJO NACIONAL OSTRICOLA AC-XX-XX-020010001
2015,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,1385000,LOCAL,AGUAS INTERIORES,CIUDAD DE MEXICO,9,CUAUHTEMOC,9015,CUAUHTEMOC,90150001,90150001, 4/30/2015, 3/31/2016,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Varsovia 33 Col. Juarez Ciudad Ciudad De Mexico Edo. Ciudad De Mexico C.P. 6600,NACIONAL,CAMARON ALTAMAR,NA,No Disponible,NA,NACIONAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-090150001
2015,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola., Sistemas Producto,Direccion General de Organizacion y Fomento,S261-4DC,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,2084000,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001, 4/30/2015, 3/31/2016,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 10 Zona Centro C.P 22800 279 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,NACIONAL,PELAGICOS MENORES,NA,No Disponible,NA,NACIONAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-020010001
2016,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola.,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DB,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC,955000,LOCAL,PACIFICO NORTE,SINALOA,25,MAZATLAN,25012,MAZATLAN,250120001,250120001,  8/1/2016, 3/31/2017,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Varsovia 33 Col. Juarez Ciudad Ciudad De Mexico Edo. Ciudad De Mexico C.P. 6600,NACIONAL,CAMARON ALTAMAR,NA,No Disponible,NA,NACIONAL,CAMARONES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO CAMARON DE ALTAMAR AC-XX-XX-250120001
2016,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola.,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DB,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,1408519.99,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001,  8/1/2016, 3/31/2017,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 10 Zona Centro C.P 22800 279 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,NACIONAL,PELAGICOS MENORES,NA,No Disponible,NA,NACIONAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-020010001
2016,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,SISTEMA PRODUCTO RANA MICHOACAN AC,412000,LOCAL,PACIFICO SUR,MICHOACAN,16,MORELIA,16053,MORELIA,160530001,160530001,  5/3/2016, 3/31/2017,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Periferico Paseo De La Repêblica 1844 Col. Bosque Camelinas Ciudad Morelia Edo. Michoacan C.P. 58290,ESTATAL,RANA,NA,No Disponible,MICHOACAN,ESTATAL,RANAS,CADENAS PRODUCTIVAS,SISTEMA PRODUCTO RANA MICHOACAN AC-XX-XX-160530001
2017,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,508000,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001, 5/23/2017, 3/31/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Decima 272 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,ESTATAL,PELAGICOS MENORES,NA,No Disponible,BAJA CALIFORNIA,ESTATAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2018,Fomento a la Productividad Pesquera y Acuicola,Integracion Productiva y Comercial Pesquera y Acuicola.,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DB,COMITE NACIONAL SISTEMA PRODUCTO JAIBA AC,730000,LOCAL,PACIFICO NORTE,SONORA,26,PUERTO PENASCO,26048,PUERTO PENASCO,260480001,260480001, 7/31/2018,11/30/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Lazaro Cardenas 479 Col. Nuevo Penasco Ciudad Puerto Penasco Edo. Sonora C.P. 83553,NACIONAL,JAIBA,NA,No Disponible,NA,NACIONAL,JAIBAS,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO JAIBA AC-XX-XX-260480001
2018,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,412000,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001, 2/20/2018,11/30/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Calle 10 Zona Centro C.P 22800 279 Col. Seccion Primera Ciudad Ensenada Edo. Baja California C.P. 22800,ESTATAL,PELAGICOS,NA,No Disponible,BAJA CALIFORNIA,ESTATAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC-XX-XX-020010001
2018,Vinculacion Productiva,Desarrollo de Cadenas Productivas,NA,Direccion General de Organizacion y Fomento,U013-UAI,SISTEMA PRODUCTO TRUTICOLA DE VERACRUZ AC,512000,LOCAL,GOLFO DE MEXICO,VERACRUZ,30,XALAPA,30087,XALAPA-ENRIQUEZ,300870001,300870001, 2/20/2018,11/30/2018,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. Hortencia 3 Col. Adalberto Tejeda Ciudad Xalapa-Enriquez Edo. Veracruz C.P. 91070,ESTATAL,TRUCHA,NA,No Disponible,VERACRUZ,ESTATAL,TRUCHAS,CADENAS PRODUCTIVAS,SISTEMA PRODUCTO TRUTICOLA DE VERACRUZ AC-XX-XX-300870001
2019,Fomento a la Productividad Pesquera y Acuicola,Fomento al Consumo,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DF,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC,211111,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001, 8/30/2019,11/29/2019,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,Calle Y Num. 15 De Octubre 87 Col. La Trocha Ciudad Alvarado Edo. Veracruz C.P. 95277.,NACIONAL,SARDINA,NA,No Disponible,NA,NACIONAL,PELAGICOS MENORES,CADENAS PRODUCTIVAS,COMITE NACIONAL SISTEMA PRODUCTO PELAGICOS MENORES AC-XX-XX-020010001
2019,Fomento a la Productividad Pesquera y Acuicola,Fomento al Consumo,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DF,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC,970000,LOCAL,AGUAS INTERIORES,SAN LUIS POTOSI,24,CIUDAD VALLES,24013,CIUDAD VALLES,240130001,240130001, 8/20/2019, 3/31/2020,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,"Calle Y Num. Calle Jose Maria Morelos y Ponciano Arriaga, # 28 Laguna del Mante, San Luis Potosi, Ciudad Valles C.P.79285.",NACIONAL,TILAPIA,NA,No Disponible,NA,NACIONAL,ESCAMA,CADENAS PRODUCTIVAS,COMITE SISTEMA PRODUCTO TILAPIA DE MEXICO AC-XX-XX-240130001
2019,Fomento a la Productividad Pesquera y Acuicola,Fomento al Consumo,Desarrollo de Cadenas Productivas,Direccion General de Organizacion y Fomento,S261-4DF,OSTRICULTORES DE BAJA CALIFORNIA AC,179600,LOCAL,PACIFICO NORTE,BAJA CALIFORNIA,2,ENSENADA,2001,ENSENADA,20010001,20010001,11/15/2019,12/31/2019,APOYO PARA FORTALECIMIENTO DE CADENAS PRODUCTIVAS,"Calle Y Num. Leona Vicario # 315,Colonia Lazaro Cardenas C.P. 22930  Ensenada, Baja California.",ESTATAL,OSTION,NA,No Disponible,BAJA CALIFORNIA,ESTATAL,OSTIONES,CADENAS PRODUCTIVAS,OSTRICULTORES DE BAJA CALIFORNIA AC-XX-XX-020010001
