NOM_LOC,NOM_ENT,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
SANTIAGO PINOTEPA NACIONAL,OAXACA,SANTIAGO PINOTEPA NACIONAL,20,20482,204820001,33726,17513,16213,-98.0503475,16.339009166666667
CANCUN,QUINTANA ROO,BENITO JUAREZ,23,23005,230050001,888797,441181,447616,-86.8248111111111,21.16141611111111
CHETUMAL,QUINTANA ROO,OTHON P. BLANCO,23,23004,230040001,169028,86790,82238,-88.29789888888888,18.493889444444445
COZUMEL,QUINTANA ROO,COZUMEL,23,23001,230010001,84519,42292,42227,-86.95758833333333,20.503784166666666
HOLBOX,QUINTANA ROO,LAZARO CARDENAS,23,23007,230070012,1841,874,967,-87.37872666666667,21.52319861111111
ISLA MUJERES,QUINTANA ROO,ISLA MUJERES,23,23003,230030001,13174,6420,6754,-86.74609166666667,21.256569166666665
TULUM,QUINTANA ROO,TULUM,23,23009,230090001,33374,15830,17544,-87.46320472222223,20.210776666666668
CULIACAN ROSALES,SINALOA,CULIACAN,25,25006,250060001,808416,416251,392165,-107.39375611111112,24.808808055555556
EL ROSARIO,SINALOA,ROSARIO,25,25014,250140001,17097,8801,8296,-105.85375666666665,22.990874166666668
ESCUINAPA DE HIDALGO,SINALOA,ESCUINAPA,25,25009,250090001,33924,17240,16684,-105.77787583333333,22.83505138888889
GUASAVE,SINALOA,GUASAVE,25,25011,250110001,77849,40866,36983,-108.4718175,25.56554722222222
LA REFORMA,SINALOA,ANGOSTURA,25,25002,250020093,6596,3278,3318,-108.0538725,25.080774722222223
LOS MOCHIS,SINALOA,AHOME,25,25001,250010001,298009,154344,143665,-108.99434277777777,25.783416944444447
MAZATLAN,SINALOA,MAZATLAN,25,25012,250120001,441975,227109,214866,-106.4222213888889,23.20031583333333
NAVOLATO,SINALOA,NAVOLATO,25,25018,250180001,30796,15740,15056,-107.69676027777778,24.767218888888888
TOPOLOBAMPO,SINALOA,AHOME,25,25001,250010240,6198,3085,3113,-109.04952527777778,25.59868722222222
BAHIA DE KINO,SONORA,HERMOSILLO,26,26030,260300137,6454,3150,3304,-111.93968527777778,28.825522499999998
CIUDAD OBREGON,SONORA,CAJEME,26,26018,260180001,329404,168547,160857,-109.93271611111112,27.49648888888889
GOLFO DE SANTA CLARA,SONORA,SAN LUIS RIO COLORADO,26,26055,260550011,4618,2184,2434,-114.50091861111112,31.689948611111113
HEROICA GUAYMAS,SONORA,GUAYMAS,26,26029,260290001,117253,59414,57839,-110.88944472222222,27.923248611111113
HUATABAMPO,SONORA,HUATABAMPO,26,26033,260330001,30324,15540,14784,-109.64415333333334,26.826896944444446
PUERTO LIBERTAD,SONORA,PITIQUITO,26,26047,260470065,2750,1291,1459,-112.68645111111111,29.909170277777775
PUERTO PENASCO,SONORA,PUERTO PENASCO,26,26048,260480001,62301,30877,31424,-113.54013083333334,31.306780833333335
FRONTERA,TABASCO,CENTLA,27,27003,270030001,23024,12070,10954,-92.65218722222222,18.53011083333333
JONUTA,TABASCO,JONUTA,27,27011,270110001,7387,3854,3533,-92.13872916666668,18.09070611111111
MACUSPANA,TABASCO,MACUSPANA,27,27012,270120001,31435,16316,15119,-92.59407055555555,17.75643138888889
PEDRO SANCHEZ MAGALLANES,TABASCO,CARDENAS,27,27002,270020121,1102,563,539,-93.87735388888888,18.286863333333336
PUERTO CEIBA,TABASCO,PARAISO,27,27014,270140006,2806,1424,1382,-93.17792138888889,18.412210833333333
ALDAMA,TAMAULIPAS,ALDAMA,28,28002,280020001,14334,7468,6866,-98.07371305555556,22.919306111111112
CIUDAD VICTORIA,TAMAULIPAS,VICTORIA,28,28041,280410001,332100,171749,160351,-99.15125027777778,23.731053055555552
HEROICA MATAMOROS,TAMAULIPAS,MATAMOROS,28,28022,280220001,510739,259229,251510,-97.5048225,25.87991527777778
SAN FERNANDO,TAMAULIPAS,SAN FERNANDO,28,28035,280350001,28215,14347,13868,-98.15962083333334,24.848678055555553
SOTO LA MARINA,TAMAULIPAS,SOTO LA MARINA,28,28037,280370001,11311,5841,5470,-98.20619,23.76703861111111
TAMPICO,TAMAULIPAS,TAMPICO,28,28038,280380001,297373,155718,141655,-97.85838666666666,22.21606027777778
ALVARADO,VERACRUZ DE IGNACIO DE LA LLAVE,ALVARADO,30,30011,300110001,20797,10995,9802,-95.76392916666667,18.7742775
