CVE_LOC,CVE_MUN,CVE_ENT,NOM_LOC,NOM_MUN,NOM_ENT,rnpa,tot_subsidies,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008149,1848899.35,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008305,4367033.4,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008586,154174,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008610,575988,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008875,925350,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008941,241200,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203008990,702788,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009063,167049,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009147,281500,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009170,3220690,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009261,286182,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009314,227575,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009527,1761887,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009949,418908,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203009956,361569,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010095,98900,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010285,447036,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010384,1134870,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010400,280000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010657,463940,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010673,117600,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010715,135360,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203010749,139927.06,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011166,156000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011168,175860,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011283,2138964,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011457,429992,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011499,715320,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011630,26675,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011804,161972.5,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203011861,404459,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012042,110000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012117,33610,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012158,357674,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012414,20000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012455,148300,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012521,2620093.16,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012554,2340552.44,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012616,396960,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203012646,680875,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203013818,110883.05,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203013834,16166,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203013875,1642168.8,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203013909,302727.6,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014063,1028223.4,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014204,1071000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014279,302631,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014295,275643,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014345,24000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014436,753819.96,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014469,80000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014550,1001131,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014626,649232,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014691,209566,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014717,454570,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014725,607553,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014741,2263851.04,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014816,1160718.02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014899,312480,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203014972,223916.46,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015102,1243917,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015367,324287,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015524,495434,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015540,638127,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015565,296596,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015573,679521,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015581,2085701.3199999998,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015722,12000,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,02,ENSENADA,ENSENADA,BAJA CALIFORNIA,203015748,2027431,330652,167339,163313,-116.59513388888888,31.80894388888889
