CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
020010001,02001,1134870,4,vessel modernization,203010384,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,463940,2,vessel modernization,203010657,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,117600,1,vessel modernization,203010673,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,135360,1,vessel modernization,203010715,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,849885,5,vessel modernization,203011283,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,215264,3,vessel modernization,203011457,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,715320,3,vessel modernization,203011499,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,27170,1,vessel modernization,203012117,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,357674,1,vessel modernization,203012158,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,148300,1,vessel modernization,203012455,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,616317,2,vessel modernization,203012554,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,396960,1,vessel modernization,203012616,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
020010001,02001,680875,3,vessel modernization,203012646,BAJA CALIFORNIA,ENSENADA,ENSENADA,02,330652,167339,163313,-116.59513388888888,31.80894388888889
