NOM_LOC,NOM_ENT,NOM_MUN,CVE_LOC,CVE_MUN,CVE_ENT,tot_subsidies,X,Y
LORETO,BAJA CALIFORNIA SUR,LORETO,030090001,03009,03,24451208.78,1569559.88449143,1581569.3220791107
LOS MOCHIS,SINALOA,AHOME,250010001,25001,25,116338853.62,1802030.4747268734,1542980.8354376138
MACUSPANA,TABASCO,MACUSPANA,270120001,27012,27,456268.34,3496328.8991743578,673535.413369152
MANZANILLO,COLIMA,MANZANILLO,060070001,06007,06,28819129.55,2256785.3318689186,786137.1350743617
MARQUELIA,GUERRERO,MARQUELIA,120770001,12077,12,2971917.91,2840167.2826950476,514714.77309161087
MAZATLAN,SINALOA,MAZATLAN,250120001,25012,25,19745674.62,2049824.2380272453,1248276.6976070323
MERIDA,YUCATAN,MERIDA,310500001,31050,31,908809.25,3779655.397446936,1050593.9331369016
MEXICALI,BAJA CALIFORNIA,MEXICALI,020020001,02002,02,907535.4,1228032.357702266,2345960.15673233
NAUTLA,VERACRUZ DE IGNACIO DE LA LLAVE,NAUTLA,301140001,30114,30,5960436.96,3043957.9110357068,921649.68359713885
NAVOLATO,SINALOA,NAVOLATO,250180001,25018,25,270440181.29,1926993.1251935577,1425329.2948314843
OAXACA DE JUAREZ,OAXACA,OAXACA DE JUAREZ,200670001,20067,20,2084554.69,3061819.165135483,574093.9069194752
PEDRO SANCHEZ MAGALLANES,TABASCO,CARDENAS,270020121,27002,27,35405663.53,3357232.9460896947,723789.9297969666
PROGRESO,YUCATAN,PROGRESO,310590001,31059,31,58292625.76,3772628.810713233,1084837.76546833
PUERTO ANGEL,OAXACA,SAN PEDRO POCHUTLA,203240025,20324,20,51099576.129999995,3092819.474572548,420464.62171482993
PUERTO CEIBA,TABASCO,PARAISO,270140006,27014,27,30273483.09,3430107.270875911,741978.4072345587
PUERTO ESCONDIDO,OAXACA,SAN PEDRO MIXTEPEC,203180009,20318,20,27699673.61,3029558.84292961,440072.4256977788
PUERTO LIBERTAD,SONORA,PITIQUITO,260470065,26047,26,3629991.94,1468110.8250207007,2020526.6948203587
PUERTO MADERO (SAN BENITO),CHIAPAS,TAPACHULA,070890148,07089,07,7344591.05,3536697.710401945,338626.67505758285
PUERTO PENASCO,SONORA,PUERTO PENASCO,260480001,26048,26,10726908,1398332.7784877736,2181707.7929681186
PUERTO SAN CARLOS,BAJA CALIFORNIA SUR,COMONDU,030010280,03001,03,28986446.63,1484032.8379463502,1452246.8441137506
PUERTO VALLARTA,JALISCO,PUERTO VALLARTA,140670001,14067,14,45585701.84,2165036.521793437,960102.2230449185
PUNTA ABREOJOS,BAJA CALIFORNIA SUR,MULEGE,030020116,03002,03,1586174.02,1354210.8915856085,1675272.9417950308
RIO LAGARTOS,YUCATAN,RIO LAGARTOS,310610001,31061,31,333343,3924145.998308419,1133579.1842742064
SABANCUY,CAMPECHE,CARMEN,040030614,04003,04,21214924,3635647.176771489,818354.2067164672
SALINA CRUZ,OAXACA,SALINA CRUZ,200790001,20079,20,2333144.4699999997,3229679.4808772593,483075.92475183465
SAN BLAS,NAYARIT,SAN BLAS,180120001,18012,18,8425355.03,2161275.637298051,1062509.4481666286
SAN FELIPE,BAJA CALIFORNIA,MEXICALI,020020284,02002,02,4444580,1271837.8851832233,2160786.943412276
SAN FELIPE,YUCATAN,SAN FELIPE,310650001,31065,31,346519,3916865.5597483204,1129538.5020575272
SAN FERNANDO,TAMAULIPAS,SAN FERNANDO,280350001,28035,28,77992482.52,2886098.4460499766,1428093.483749573
SAN FRANCISCO DE CAMPECHE,CAMPECHE,CAMPECHE,040020001,04002,04,11360539.27,3695108.4678937816,919319.7928322452
SANTA ROSALIA,BAJA CALIFORNIA SUR,MULEGE,030020001,03002,03,19955866.13,1488054.84151262,1733621.5419969175
SANTIAGO IXCUINTLA,NAYARIT,SANTIAGO IXCUINTLA,180150001,18015,18,1836365.45,2170177.3954785797,1091689.4394513846
SANTIAGO PINOTEPA NACIONAL,OAXACA,SANTIAGO PINOTEPA NACIONAL,204820001,20482,20,12016407.43,2922939.6866235915,489674.50143227156
SEYBAPLAYA,CAMPECHE,SEYBAPLAYA,040120001,04012,04,3663401.81,3681426.6356352707,895472.3473714697
SISAL,YUCATAN,HUNUCMA,310380004,31038,31,25380254.96,3735738.932014781,1068688.867123407
SOTO LA MARINA,TAMAULIPAS,SOTO LA MARINA,280370001,28037,28,16842886.2,2884569.4842565544,1308845.7875806878
TAMIAHUA,VERACRUZ DE IGNACIO DE LA LLAVE,TAMIAHUA,301510001,30151,30,34180689.58,2970249.112283401,1037223.8630622886
TAMPICO,TAMAULIPAS,TAMPICO,280380001,28038,28,10682421.8,2924748.818223655,1139053.661156278
TECOLUTLA,VERACRUZ DE IGNACIO DE LA LLAVE,TECOLUTLA,301580001,30158,30,3601171.8200000003,3018550.2281017415,950338.9900245819
TECOMAN,COLIMA,TECOMAN,060090001,06009,06,11401724,2303047.7471965556,769711.6789375001
TECPAN DE GALEANA,GUERRERO,TECPAN DE GALEANA,120570001,12057,12,16045744,2645531.3208499504,582464.339171701
TELCHAC,YUCATAN,TELCHAC PUEBLO,310820001,31082,31,8055111.54,3813770.7404918624,1079677.2981364145
TONALA,CHIAPAS,TONALA,070970001,07097,07,21170108.21,3384445.8568768427,481814.6067522864
TOPOLOBAMPO,SINALOA,AHOME,250010240,25001,25,67009354.87,1795527.4638314347,1522907.3187027746
TULUM,QUINTANA ROO,TULUM,230090001,23009,23,6286126,4010859.0247382037,988548.0067116924
TUXPAM DE RODRIGUEZ CANO,VERACRUZ DE IGNACIO DE LA LLAVE,TUXPAN,301890001,30189,30,4139887,2975760.7048612037,1002615.8663742661
VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,301930001,30193,30,45289301.76,3113158.347443557,811813.1455088926
ZIHUATANEJO,GUERRERO,ZIHUATANEJO DE AZUETA,120380001,12038,12,49797505.76,2547930.9677837878,629203.2595797506
