NOM_LOC,NOM_ENT,rnp_code,NOM_MUN,CVE_ENT,CVE_MUN,CVE_LOC,POBTOT,POBFEM,POBMAS,deci_lon,deci_lat
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203015870,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203015193,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203015805,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203007414,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203010756,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,2003000235,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203126628,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
BAHIA DE LOS ANGELES,BAJA CALIFORNIA,203127048,SAN QUINTIN,02,02006,020060022,781,370,411,-113.55998277777778,28.948094722222223
EJIDO VILLA JESUS MARIA,BAJA CALIFORNIA,203016878,SAN QUINTIN,02,02006,020060127,456,217,239,-114.00156166666666,28.280727499999998
ENSENADA,BAJA CALIFORNIA,203126628,ENSENADA,02,02001,020010001,330652,167339,163313,-116.59513388888888,31.80894388888889
MEXICALI,BAJA CALIFORNIA,207002205,MEXICALI,02,02002,020020001,854186,425977,428209,-115.47557888888889,32.641175833333335
SAN FELIPE,BAJA CALIFORNIA,207001975,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
SAN FELIPE,BAJA CALIFORNIA,207002098,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
SAN FELIPE,BAJA CALIFORNIA,203011606,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
SAN FELIPE,BAJA CALIFORNIA,207002478,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
SAN FELIPE,BAJA CALIFORNIA,207001918,MEXICALI,02,02002,020020284,17143,8340,8803,-114.83890138888889,31.022920277777775
BAHIA ASUNCION,BAJA CALIFORNIA SUR,312002611,MULEGE,03,03002,030020014,1453,739,714,-114.29755805555556,27.140901944444444
BAHIA TORTUGAS,BAJA CALIFORNIA SUR,301000246,MULEGE,03,03002,030020015,2367,1181,1186,-114.89567916666667,27.69174388888889
BAHIA TORTUGAS,BAJA CALIFORNIA SUR,301000113,MULEGE,03,03002,030020015,2367,1181,1186,-114.89567916666667,27.69174388888889
CABO SAN LUCAS,BAJA CALIFORNIA SUR,305008518,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,302000567,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,308000330,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,305002354,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,306001744,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,312002199,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,302001318,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,302000534,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CABO SAN LUCAS,BAJA CALIFORNIA SUR,305008740,LOS CABOS,03,03008,030080054,202694,98608,104086,-109.92518611111112,22.897018888888887
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,305001893,COMONDU,03,03001,030010001,43805,22160,21645,-111.67333944444445,25.034635555555557
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,303000145,COMONDU,03,03001,030010001,43805,22160,21645,-111.67333944444445,25.034635555555557
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,311001911,COMONDU,03,03001,030010001,43805,22160,21645,-111.67333944444445,25.034635555555557
CIUDAD CONSTITUCION,BAJA CALIFORNIA SUR,305000051,COMONDU,03,03001,030010001,43805,22160,21645,-111.67333944444445,25.034635555555557
