NOM_ENT,NOM_MUN,NOM_LOC,CVE_ENT,CVE_LOC,CVE_MUN,tot_value,no_sub,subsidy,rnpa,year
TABASCO,CENTRO,AZTLAN 5TA. SECCION (DON LORENZO),27,270040293,27004,7200,1,bienpesca,BIENPESCA,2021
TABASCO,CENTRO,AZTLAN 5TA. SECCION (DON LORENZO),27,270040293,27004,7200,1,bienpesca,BIENPESCA,2022
TABASCO,CENTRO,AZTLAN 5TA. SECCION (PALOMILLAL),27,270040256,27004,396000,55,bienpesca,BIENPESCA,2020
TABASCO,CENTRO,AZTLAN 5TA. SECCION (PALOMILLAL),27,270040256,27004,547200,76,bienpesca,BIENPESCA,2021
TABASCO,CENTRO,AZTLAN 5TA. SECCION (PALOMILLAL),27,270040256,27004,504000,70,bienpesca,BIENPESCA,2022
NAYARIT,SANTIAGO IXCUINTLA,AZTLAN DE LAS GARZAS,18,180150006,18015,14400,2,bienpesca,BIENPESCA,2020
NAYARIT,SANTIAGO IXCUINTLA,AZTLAN DE LAS GARZAS,18,180150006,18015,14400,2,bienpesca,BIENPESCA,2021
NAYARIT,SANTIAGO IXCUINTLA,AZTLAN DE LAS GARZAS,18,180150006,18015,14400,2,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 1RA. SECCION,27,270020012,27002,57600,8,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 1RA. SECCION,27,270020012,27002,57600,8,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 1RA. SECCION,27,270020012,27002,50400,7,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 2DA. SECCION,27,270020013,27002,842400,117,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 2DA. SECCION,27,270020013,27002,885600,123,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 2DA. SECCION,27,270020013,27002,878400,122,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 3RA. SECCION (EL TRIUNFO),27,270020014,27002,86400,12,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 3RA. SECCION (EL TRIUNFO),27,270020014,27002,136800,19,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 3RA. SECCION (EL TRIUNFO),27,270020014,27002,122400,17,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 4TA. SECCION (TORNO ALEGRE),27,270020101,27002,7200,1,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 4TA. SECCION (TORNO ALEGRE),27,270020101,27002,115200,16,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 4TA. SECCION (TORNO ALEGRE),27,270020101,27002,115200,16,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 5TA. SECCION (EL APOMPAL),27,270020100,27002,7200,1,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 5TA. SECCION (EL APOMPAL),27,270020100,27002,7200,1,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 5TA. SECCION (EL APOMPAL),27,270020100,27002,7200,1,bienpesca,BIENPESCA,2022
TABASCO,CARDENAS,AZUCENA 6TA. SECCION,27,270020140,27002,7200,1,bienpesca,BIENPESCA,2020
TABASCO,CARDENAS,AZUCENA 6TA. SECCION,27,270020140,27002,7200,1,bienpesca,BIENPESCA,2021
TABASCO,CARDENAS,AZUCENA 6TA. SECCION,27,270020140,27002,7200,1,bienpesca,BIENPESCA,2022
CHIHUAHUA,TEMOSACHIC,BABICORA DE CONOACHIC,08,080630007,08063,7200,1,bienpesca,BIENPESCA,2020
CHIHUAHUA,TEMOSACHIC,BABICORA DE CONOACHIC,08,080630007,08063,7200,1,bienpesca,BIENPESCA,2021
CHIHUAHUA,TEMOSACHIC,BABICORA DE CONOACHIC,08,080630007,08063,7200,1,bienpesca,BIENPESCA,2022
YUCATAN,BACA,BACA,31,310040001,31004,14400,2,bienpesca,BIENPESCA,2020
YUCATAN,BACA,BACA,31,310040001,31004,14400,2,bienpesca,BIENPESCA,2021
YUCATAN,BACA,BACA,31,310040001,31004,14400,2,bienpesca,BIENPESCA,2022
SINALOA,CHOIX,BACA,25,250070024,25007,129600,18,bienpesca,BIENPESCA,2020
SINALOA,CHOIX,BACA,25,250070024,25007,122400,17,bienpesca,BIENPESCA,2021
SINALOA,CHOIX,BACA,25,250070024,25007,93600,13,bienpesca,BIENPESCA,2022
SINALOA,CHOIX,BACA,25,250070024,25007,24375,13,bienpesca,BIENPESCA,2023
QUINTANA ROO,BACALAR,BACALAR,23,230100001,23010,28800,4,bienpesca,BIENPESCA,2020
QUINTANA ROO,BACALAR,BACALAR,23,230100001,23010,115200,16,bienpesca,BIENPESCA,2021
QUINTANA ROO,BACALAR,BACALAR,23,230100001,23010,93600,13,bienpesca,BIENPESCA,2022
SONORA,BACANORA,BACANORA,26,260090001,26009,14400,2,bienpesca,BIENPESCA,2020
SONORA,BACANORA,BACANORA,26,260090001,26009,7200,1,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,BACAPACO,26,260330008,26033,21600,3,bienpesca,BIENPESCA,2020
SONORA,HUATABAMPO,BACAPACO,26,260330008,26033,21600,3,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,BACAPACO,26,260330008,26033,21600,3,bienpesca,BIENPESCA,2022
SINALOA,EL FUERTE,BACAUSA DE ABAJO,25,250100018,25010,7200,1,bienpesca,BIENPESCA,2020
SINALOA,EL FUERTE,BACAUSA DE ABAJO,25,250100018,25010,7200,1,bienpesca,BIENPESCA,2021
SINALOA,EL FUERTE,BACAUSA DE ABAJO,25,250100018,25010,7200,1,bienpesca,BIENPESCA,2022
SINALOA,EL FUERTE,BACAUSA DE ABAJO,25,250100018,25010,1875,1,bienpesca,BIENPESCA,2023
SONORA,HUATABAMPO,BACHANTAHUI,26,260330011,26033,151200,21,bienpesca,BIENPESCA,2020
SONORA,HUATABAMPO,BACHANTAHUI,26,260330011,26033,151200,21,bienpesca,BIENPESCA,2021
SONORA,HUATABAMPO,BACHANTAHUI,26,260330011,26033,136800,19,bienpesca,BIENPESCA,2022
